City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,238.53,96,16,2.68,RU,1701668275
1,muang phon-hong,18.4928,102.4172,303.35,54,38,0.68,LA,1701668275
2,renqiu,38.6989,116.0936,282.96,23,24,0.91,CN,1701668276
3,mili,6.0815,171.735,301.3,82,83,8.77,MH,1701668276
4,manggar,-2.8833,108.2667,303.11,65,100,1.01,ID,1701668276
5,waitangi,-43.9535,-176.5597,285.83,75,100,0.89,NZ,1701668276
6,kitimat,54.0524,-128.6534,278.53,64,100,2.68,CA,1701668276
7,rundu,-17.9333,19.7667,299.78,45,78,2.88,NA,1701668277
8,broken hill,-31.95,141.4333,308.18,11,0,2.66,AU,1701668277
9,les cayes,18.2,-73.75,297.04,77,6,1.66,HT,1701668277
10,bilibino,68.0546,166.4372,249.72,100,100,1.15,RU,1701668277
11,ushuaia,-54.8,-68.3,280.96,76,40,12.35,AR,1701668277
12,sao jose da coroa grande,-8.8978,-35.1478,298.39,86,16,3.54,BR,1701668278
13,puerto ayora,-0.7393,-90.3518,296.79,96,75,1.34,EC,1701668278
14,manavalakurichi,8.1333,77.3,303.0,70,60,5.57,IN,1701668278
15,iqaluit,63.7506,-68.5145,260.0,78,100,6.17,CA,1701668278
16,punta arenas,-53.15,-70.9167,282.16,81,40,7.72,CL,1701668278
17,hithadhoo,-0.6,73.0833,301.31,76,100,3.12,MV,1701668279
18,tadine,-21.55,167.8833,298.12,69,53,2.75,NC,1701668279
19,lompoc,34.6391,-120.4579,289.23,86,0,6.69,US,1701668279
20,georgetown,5.4112,100.3354,305.11,66,20,3.6,MY,1701668145
21,wailua homesteads,22.0669,-159.378,298.39,88,75,3.09,US,1701668004
22,albany,42.6001,-73.9662,278.6,93,99,0.45,US,1701668280
23,palmer,42.1584,-72.3287,278.23,82,100,3.6,US,1701668280
24,margaret river,-33.95,115.0667,292.09,62,100,4.87,AU,1701668280
25,puerto aysen,-45.4,-72.7,280.0,99,99,1.29,CL,1701668280
26,ohara,35.25,140.3833,285.47,43,7,1.75,JP,1701668280
27,hamilton,39.1834,-84.5333,278.15,81,0,0.89,US,1701668110
28,mwene-ditu,-7.0,23.45,291.23,98,100,1.24,CD,1701668281
29,port-aux-francais,-49.35,70.2167,277.03,72,16,14.92,TF,1701668281
30,valdivia,-39.8142,-73.2459,283.2,81,0,1.62,CL,1701668269
31,rongelap,11.1635,166.8941,300.98,73,89,8.44,MH,1701668281
32,nalut,30.3333,10.85,282.32,93,4,4.57,LY,1701668281
33,saldanha,-33.0117,17.9442,289.18,68,29,3.86,ZA,1701668282
