City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,266.16,73,75,0.0,GL,1701670075
1,sabang,5.8933,95.3214,300.69,75,99,2.07,ID,1701670075
2,bandon,51.7469,-8.7425,273.92,89,51,8.86,IE,1701670076
3,port-aux-francais,-49.35,70.2167,277.13,71,15,14.75,TF,1701670076
4,kodiak,57.79,-152.4072,275.88,81,100,4.12,US,1701670076
5,kavaratti,10.5669,72.642,302.38,72,81,5.16,IN,1701670076
6,broken hill,-31.95,141.4333,308.1,11,0,2.39,AU,1701670076
7,bredasdorp,-34.5322,20.0403,292.39,54,14,4.35,ZA,1701670076
8,waitangi,-43.9535,-176.5597,285.83,74,100,0.89,NZ,1701670077
9,tazovsky,67.4667,78.7,242.3,95,15,4.05,RU,1701669947
10,katsuren-haebaru,26.3369,127.8719,294.58,92,100,7.72,JP,1701670077
11,hawaiian paradise park,19.5933,-154.9731,295.39,98,100,2.57,US,1701670077
12,walvis bay,-22.9575,14.5053,289.68,82,40,5.66,NA,1701669811
13,georgetown,5.4112,100.3354,305.11,62,20,2.57,MY,1701670078
14,puerto natales,-51.7236,-72.4875,278.23,95,81,2.89,CL,1701670078
15,ribeira grande,38.5167,-28.7,289.14,61,23,3.13,PT,1701670078
16,toyooka,35.5333,134.8333,285.69,49,18,0.89,JP,1701670078
17,altamira,-3.2033,-52.2064,295.75,91,93,1.43,BR,1701669849
18,labrador city,52.9463,-66.9114,250.84,100,18,1.15,CA,1701670079
19,gemena,3.25,19.7667,294.71,99,100,2.33,CD,1701670079
20,nova sintra,14.8667,-24.7167,295.43,77,92,6.94,CV,1701670080
21,whitehorse,60.7161,-135.0538,260.94,92,100,1.79,CA,1701670080
22,hithadhoo,-0.6,73.0833,301.23,77,100,3.41,MV,1701670080
23,badger,64.8,-147.5333,252.79,81,20,0.0,US,1701670081
24,bethel,41.3712,-73.414,280.2,89,100,1.54,US,1701670081
25,papatowai,-46.5619,169.4708,284.19,57,26,5.22,NZ,1701670082
26,trenggalek,-8.05,111.7167,302.7,73,96,3.03,ID,1701670083
27,pecan grove,29.6261,-95.7316,289.23,74,100,1.54,US,1701670084
28,kailua-kona,19.6406,-155.9956,300.13,88,40,0.0,US,1701670084
29,constantia,44.1833,28.65,274.65,59,100,5.69,RO,1701670056
30,tolanaro,-25.0319,46.9987,298.88,54,1,6.64,MG,1701670087
31,san martin de los andes,-40.1604,-71.3486,278.0,39,0,0.71,AR,1701670088
32,haiku-pauwela,20.9219,-156.3051,298.17,79,100,4.63,US,1701670088
33,alice springs,-23.7,133.8833,310.9,14,0,7.2,AU,1701670088
34,adamstown,-25.066,-130.1015,295.41,84,91,5.46,PN,1701670063
35,carora,10.1755,-70.0827,294.71,89,40,2.26,VE,1701670089
36,pangody,65.85,74.4859,242.78,99,23,3.6,RU,1701670090
37,zheleznodorozhnyy,55.7503,38.0042,266.68,95,97,4.02,RU,1701670090
38,chibougamau,49.9168,-74.3659,260.19,88,100,3.48,CA,1701670090
39,lebu,-37.6167,-73.65,283.98,75,0,8.73,CL,1701670091
40,college,64.8569,-147.8028,252.84,77,20,0.0,US,1701669941
41,margaret river,-33.95,115.0667,291.88,65,100,4.88,AU,1701670091
42,fale old settlement,-9.3852,-171.2468,302.7,76,87,7.07,TK,1701670091
43,edinburgh of the seven seas,-37.0676,-12.3116,288.04,86,3,6.01,SH,1701670092
44,taguatinga,-12.3857,-46.5711,294.58,95,97,0.36,BR,1701669759
45,ushuaia,-54.8,-68.3,276.48,97,83,1.51,AR,1701670092
46,longyearbyen,78.2186,15.6401,265.06,67,75,6.69,SJ,1701670092
47,klyuchi,52.2667,79.1667,264.61,75,100,7.18,RU,1701670093
48,hede,33.7681,120.2517,287.11,32,100,3.77,CN,1701670093
49,blackmans bay,-43.0167,147.3167,295.66,47,100,3.43,AU,1701669806
50,rongelap,11.1635,166.8941,301.01,74,92,8.1,MH,1701670094
51,revda,56.801,59.9303,261.89,92,100,5.01,RU,1701670094
52,nuku'alofa,-21.1333,-175.2,300.34,83,20,4.63,TO,1701670095
53,grytviken,-54.2811,-36.5092,274.1,79,8,3.8,GS,1701670095
54,tiksi,71.6872,128.8694,240.59,99,99,3.26,RU,1701670095
55,maibong,25.3,93.1667,299.62,47,99,1.09,IN,1701670096
56,kingston,17.997,-76.7936,296.62,94,28,1.6,JM,1701670005
57,lihue,21.9789,-159.3672,296.73,85,40,3.6,US,1701670096
58,tolbazy,54.0241,55.8825,273.0,95,100,8.67,RU,1701670097
59,shimanovsk,52.0,127.7,262.19,73,45,2.12,RU,1701670097
60,puerto ayora,-0.7393,-90.3518,297.34,94,79,1.79,EC,1701670097
61,nouadhibou,20.931,-17.0347,292.49,85,92,6.01,MR,1701670097
62,saipan,15.1355,145.701,302.54,70,75,7.72,MP,1701670098
63,minas de marcona,-15.2119,-75.1103,286.63,89,74,5.12,PE,1701670099
64,atafu village,-8.5421,-172.5159,302.52,77,77,5.8,TK,1701670099
65,nizhneangarsk,55.7833,109.55,268.15,89,100,3.58,RU,1701670099
66,san antonio de pale,-1.4014,5.6325,299.78,82,94,3.5,GQ,1701670100
67,praya,14.9215,-23.5087,296.45,83,20,5.66,CV,1701670100
68,vaskelovo,60.3693,30.3534,265.04,98,98,1.23,RU,1701670100
69,zin'kiv,50.2081,34.3638,267.75,83,96,4.97,UA,1701670101
70,douglas,41.3,-96.167,273.05,91,100,3.6,US,1701670101
71,port mathurin,-19.6833,63.4167,299.05,77,18,6.95,MU,1701670101
72,sanming,26.2486,117.6186,287.17,98,100,0.51,CN,1701670102
73,iqaluit,63.7506,-68.5145,261.0,78,100,7.2,CA,1701670102
74,avarua,-21.2078,-159.775,297.18,78,40,3.09,CK,1701670102
75,sohagpur,22.7,78.2,299.8,54,68,2.39,IN,1701670102
76,talnakh,69.4865,88.3972,239.2,85,12,1.24,RU,1701670103
77,tame,6.461,-71.73,298.59,52,53,2.18,CO,1701670103
78,aykhal,66.0,111.5,235.4,99,63,2.53,RU,1701670021
79,el granada,37.5027,-122.4694,287.94,89,100,0.0,US,1701670103
80,west island,-12.1568,96.8225,302.14,65,86,5.66,CC,1701670103
81,wotho,10.1657,166.0102,301.1,73,100,8.53,MH,1701670104
82,linxia chengguanzhen,35.6003,103.2064,280.66,26,0,1.07,CN,1701670104
83,manokwari,-0.8667,134.0833,300.73,83,31,2.71,ID,1701670104
84,portland,45.5234,-122.6762,287.29,94,100,2.57,US,1701669526
85,ormara,25.2088,64.6357,299.85,30,4,5.31,PK,1701670105
86,calabazar de sagua,22.6447,-79.8961,293.41,100,0,0.51,CU,1701670105
87,utrik,11.2278,169.8474,300.47,75,99,9.58,MH,1701670105
88,anadyr,64.75,177.4833,253.43,84,20,5.0,RU,1701670105
89,merowe,18.4833,31.8167,297.86,35,7,5.4,SD,1701670106
90,vila franca do campo,37.7167,-25.4333,284.38,72,100,2.86,PT,1701670106
